normRMSH;normCurv;gammaNorm;muT;normPullOff
0.0603441;93.1873;0.01;1;2.44E-06
0.0603441;93.1873;0.03;1;1.04E-05
0.0603441;93.1873;0.05;1;1.67E-05
0.0603441;93.1873;0.07;1;2.45E-05
0.0603441;93.1873;0.1;1;3.42E-05
0.0603441;93.1873;0.15;1;9.35E-05
0.0603441;93.1873;0.2;1;0.00023732
0.0603441;93.1873;0.27;1;0.000513688
0.0603441;93.1873;0.34;1;0.00151801
0.0603441;93.1873;0.4;1;0.00297041
0.0603441;93.1873;0.5;1;0.00551918
0.0603441;93.1873;0.6;1;0.00870607
0.0603441;93.1873;0.7;1;0.0139373
0.0603441;93.1873;0.8;1;0.0196866
0.0603441;93.1873;1;1;0.0311752
0.0603441;93.1873;1.41;1;0.0520635
0.0603441;93.1873;2;1;0.0793143
0.0603441;93.1873;2.82;1;0.112637
0.0603441;93.1873;4;1;0.165239
0.0603441;93.1873;5.64;1;0.167925
0.0603441;93.1873;8;1;0.209155
0.0603441;93.1873;8;1;0.209155
0.0603441;97.6387;0.01;1;2.44E-06
0.0603441;97.6387;0.03;1;1.04E-05
0.0603441;97.6387;0.05;1;1.67E-05
0.0603441;97.6387;0.07;1;2.45E-05
0.0603441;97.6387;0.1;1;3.42E-05
0.0603441;97.6387;0.15;1;9.35E-05
0.0603441;97.6387;0.2;1;0.00023732
0.0603441;97.6387;0.27;1;0.000513688
0.0603441;97.6387;0.34;1;0.00151801
0.0603441;97.6387;0.4;1;0.00297041
0.0603441;97.6387;0.5;1;0.00551918
0.0603441;97.6387;0.6;1;0.00870607
0.0603441;97.6387;0.7;1;0.0139373
0.0603441;97.6387;0.8;1;0.0196866
0.0603441;97.6387;1;1;0.0311752
0.0603441;97.6387;1.41;1;0.0520635
0.0603441;97.6387;2;1;0.0793143
0.0603441;97.6387;2.82;1;0.112637
0.0603441;97.6387;4;1;0.165239
0.0603441;97.6387;5.64;1;0.167925
0.0603441;97.6387;8;1;0.209155
0.0603441;97.6387;8;1;0.209155
0.0603441;97.6387;0.01;1;9.91E-07
0.0603441;97.6387;0.03;1;1.81E-06
0.0603441;97.6387;0.05;1;2.14E-06
0.0603441;97.6387;0.07;1;5.92E-06
0.0603441;97.6387;0.1;1;1.88E-05
0.0603441;97.6387;0.15;1;5.19E-05
0.0603441;97.6387;0.2;1;2.07E-05
0.0603441;97.6387;0.27;1;0.000215577
0.0603441;97.6387;0.34;1;0.000571127
0.0603441;97.6387;0.4;1;0.00117545
0.0603441;97.6387;0.5;1;0.00369179
0.0603441;97.6387;0.6;1;0.00782394
0.0603441;97.6387;0.7;1;0.0123421
0.0603441;97.6387;0.8;1;0.017559
0.0603441;97.6387;1;1;0.0288325
0.0603441;97.6387;1.41;1;0.0462053
0.0603441;97.6387;2;1;0.0697014
0.0603441;97.6387;2.82;1;0.0849537
0.0603441;97.6387;4;1;0.101335
0.0603441;97.6387;8;1;0.130589
