#Hurst #L  #lamdbaR #lambdaS #surfaceEnergy  #rho  #pulloff
0.8   512   128   2     0.0173428  0.01586214  3.40359e-07
0.8   512   128   2     0.043357   0.0292183   1.81636e-06
0.8   512   128   2     0.0693712  0.0399701   3.75757e-06
0.8   512   128   2     0.086714   0.0582647   8.74492e-06
0.8   512   128   2     0.130071   0.0763485   1.59918e-05
0.8   512   128   2     0.1647566  0.0893803   2.33641e-05
0.8   512   128   2     0.2254564  0.1101672   3.69621e-05
0.8   512   128   2     0.2774848  0.1265239   4.74185e-05
0.8   512   128   2     0.3208418  0.1393822   5.43485e-05
0.8   512   128   4     0.0117842  0.2302567 1.00481e-06
0.8   512   128   4     0.0353528  0.4789534 6.01779e-06
0.8   512   128   4     0.0824898  0.842580  3.63743e-05
0.8   512   128   4     0.1178425 1.0687574 0.000124832
0.8   512   128   4     0.15320  1.273038  0.000273065
0.8   512   128   4     0.20033  1.522340  0.000774332
0.8   512   128   4     0.29461  1.968668  0.00274586
0.8   512   128   4     0.53029  2.913091  0.0107981
0.8   512   128   4     0.88382  4.094994  0.0267151
0.8   512   128   4     1.35519  5.445164  0.0474181
0.8   512   128   4     2.03868  7.148965  0.07286
0.8   512   128   4     2.71038  8.643660  0.0938028
0.8   512   128   4     4.38374  11.90989  0.134188 
0.8   512   128   4     7.65977  17.27778  0.186949
0.8   512   128   4     10.6058  21.46384  0.220005
0.8   512   128   4     14.7303  26.71893  0.342618
0.8   512   128   2     0.432617  0.5103526  0.000823829
0.8   512   128   2     0.475879  0.5438329  0.005592198
0.8   512   128   2     0.674883  0.6864677  0.01632923
0.8   512   128   2     0.778711  0.7551827   0.02237827
0.8   512   128   2     0.951758  0.8632809  0.03716746
0.8   512   128   2     1.384375  1.108248   0.07137272
0.8   512   128   2    1.990039  1.4115911  0.11743682
0.8   512   128   2    2.76875   1.7592342   0.16347209
0.8   512   128   2     3.893555  2.2081675  0.25283281
0.8   512   128   2     5.364453  2.7341236  0.28938542
0.8   1024  128   2    0.432617  0.5103526   0.000383705
0.8   1024  128   2    0.475879  0.5438329   0.00259732
0.8   1024  128   2    0.674883  0.6864677   0.01257219
0.8   1024  128   2    0.778711  0.7551827   0.0187345
0.8   1024  128   2    0.951758  0.8632809   0.0312837
0.8   1024  128   2    1.384375  1.108248    0.0592372
0.8   1024  128   2    1.990039  1.4115911   0.0986542
0.8   1024  128   2    2.76875   1.7592342   0.1637294
0.8   1024  128   2    3.893555  2.2081675   0.2427312
0.8   1024  128   2     5.364453  2.7341236  0.29372725
0.8   512	128	32	0.455834	4.18537   0.00107768
0.8   1536	128	64	0.435573	1.67609   1.01477e-05
0.8   1536	512	16	0.00522671	3.18212   2.18304e-07
0.8   1280	64	32	0.177285	3.76808   0.00105033 
0.8   2048	256	16	0.0763517	2.9888    5.24534e-06
0.8   512	64	64	0.0784438	0.914735  1.32635e-05
0.8   1536	384	24	0.148421	2.71441   1.03447e-05
0.8   512	128	16	0.0962038	2.37689   5.48813e-05
0.8   1792	32	32	0.867604	2.68246   0.0194114
0.8   2048	512	256	0.353219	3.2784    1.75723e-05
0.8   2048	128	64	0.182328	3.13367   3.13519e-06
0.8   1536	512	16	0.991867	4.11226   5.76743e-05
0.8   1536	192	32	0.467107	2.69455   0.000164235
0.8   1536	96	48	0.571727	4.16106   0.00116182
0.8   1536	1536	32	0.774279	1.59973   0.000105934
0.8   1792	128	128	0.165033	0.92277   4.33404e-06
0.8   1536	192	64	0.0817334	2.8442    2.4134e-06
0.8   512	32	16	0.560684	2.07982   0.0204942
0.8   256	256	256	0.071135	2.61964   0.000279769
0.8   1024	256	64	0.580404	0.760646  0.000272724 
0.8   1536	192	64	0.968445	3.48196   3.91454e-05
0.8   512	32	32	0.446783	3.74455   0.00953432
0.8   1792	256	16	0.688228	4.25946   0.0012244
0.8   2048	64	4	0.42053  	0.85055   0.00630281
0.8   2048	64	32	0.186376	2.82991   0.000384371 
0.8   768	192	48	0.260378	4.99365   0.000310152
0.8   1536	256	16	0.623386	4.09595   0.000218884
0.8   2048	128	8	0.940796	4.49263   0.0194287
0.8   768	192	192	0.861006	3.83961   0.000739285
0.8   256	128	128	0.526814	0.0147224 7.63922e-08  #tobe reproduce
0.8   2048	1024	512	0.918248	4.44741   0.000172677
0.8   768	768	128	0.604106	3.62103   0.000441742
0.8   768	768	384	0.0471011	4.57557   2.80385e-05
0.8   1792	32	8	0.400884	1.45622   0.0178714   # tobe reproduce
0.8   1024	256	8	0.696442	1.12856   0.000687556
0.8   1280	32	4	0.715175	1.9859    0.0616557  #to be reproduced
0.8   1024	128	4	0.788693	4.94605   0.0240468    
0.8   1280	64	8	0.231312	3.42443   0.00634954
0.8   512	32	16	0.029026	0.964079  3.23911e-06
0.8   1536	1536	128	0.981784	2.34763   5.31983e-05
0.8   1024	64	8	0.106264	0.502769  6.05269e-06
0.8   1024	512	4	0.12302	        3.16695   1.80811e-05
0.8   2048	256	32	0.119244	3.32971   6.73708e-06
0.8   1536	1536	8	0.208926	4.02075   2.65456e-05
