#Hurst  #L  #lambdaR    #lambdaS    #surfaceEnergy  #rho    #pulloff
0.8 512     256       4        0.008652        0.037603        4.01722e-07        
0.8 512      256       4        0.017304        0.059691        1.00061e-06   
0.8 512      256       4        0.034609        0.094753        2.79693e-06
0.8 512      256       4        0.060566        0.137601        6.75903e-06 
0.8 512      256       4        0.11248         0.207899        2.9443e-05 
0.8 512      256       4        0.173047        0.277062        7.81269e-05 
0.8 512      256       4        0.233613        0.338428        0.000165641
0.8 512      256       4        0.268223        0.371078        0.00025142
0.8 512      256       4        0.302832        0.402348        0.00047264
0.8 512      256       4        0.389355        0.475735        0.00133049
0.8 512      256       4        0.475879        0.543833        0.00349769
0.8 512      256       4        0.571055        0.6141196       0.00514968
0.8 512      256       4        0.674883        0.6864677       0.0137056
0.8 512      256       4        0.778711        0.7551827       0.0199541
0.8 512      256       4        0.951758        0.8632809       0.0315812
0.8 512      256       4        1.384375        1.108248        0.0641999
0.8 512      256       4        1.990039        1.4115911       0.1095
0.8 512      256       4        2.76875         1.7592342       0.163872
0.8 512      256       4        3.893555        2.2081675       0.240473
0.8 512      256       4        5.364453        2.7341236       0.292737
0.8    512    128       4        0.011781        0.056667        5.07923e-07
0.8    512    128       4        0.035344        0.117871        3.1149e-06
0.8    512    128       4        0.058907        0.165694        5.9506e-06 
0.8    512    128       4        0.082469        0.207361        9.745e-06
0.8   512     128       4        0.117814    0.263023   1.53203e-05
0.8   512     128       4        0.176721    0.344658   4.79636e-05
0.8   512     128       4        0.235629    0.417524   0.000133931
0.8   512     128       4        0.318098    0.510000   0.000320398
0.8   512     128       4        0.400568    0.594722   0.00102244 
0.8   512     128       4        0.471257    0.662778   0.00211206
0.8   512     128       4        0.589071    0.769085   0.00422735 
0.8   512     128       4        0.706886    0.868484   0.00708614
0.8   512     128       4        0.824700    0.962483   0.0119421
0.8   512     128       4        0.942514    1.052094   0.0176362
0.8   512     128       4        1.178142    1.220847   0.0300847
0.8   512     128       4        1.661181    1.535114   0.0563391
0.8   512     128       4        2.356285    1.937973   0.0964343
0.8   512     128       4        3.322362    2.436841   0.153568
0.8   512     128       4        4.712570    3.076341   0.253125 
0.8   512     128       4        6.644724    3.868244   0.288455
0.8   512     128       4        9.425140    4.883387   0.403677
0.8   512     128       1         0.0064175  0.0246534  1.0415e-07
0.8   512     128       1         0.0192525  0.0512811  6.26352e-07
0.8   512     128       1         0.0320875  0.0720870  1.29678e-06
0.8   512     128       1         0.0545488  0.1026809  2.26747e-06
0.8   512     128       1         0.0770100  0.1292205  6.17492e-06
0.8   512     128       1         0.1090975  0.1629958  1.51777e-05
0.8   512     128       1         0.1476025  0.1993865  2.46851e-05
0.8   512     128       1         0.1796901  0.2273261  8.16221e-05  
0.8   512     128       1         0.2181951  0.2587398  0.000325041  
0.8   512     128       1         0.2695351  0.2978814  0.000935866
0.8   512     128       1         0.3208752  0.3345984  0.00288733
0.8   512     128       1         0.4363902  0.4107238  0.00963322
0.8   512     128       1         0.6096628  0.5132863  0.0228219
0.8   512     128       1         0.8021879  0.6163356  0.0376089
0.8   512     128       1         1.1551506  0.7859452  0.0768617
0.8   512     128       1         1.6685509  1.0042908  0.125921
0.8   512     128       1         2.3103012  1.2476101  0.175757
0.8   512     128       2  0.008652  0.037603     7.729281e-07 
0.8   512     128       2  0.017304  0.059691     2.502734e-06 
0.8   512     128       2  0.034609  0.094753      5.272104e-06
0.8   512     128       2  0.060566  0.1376012     1.02827e-05 
0.8   512     128       2  0.112480  0.2078991     2.36448e-05 
0.8   512     128       2  0.173047  0.277062      4.42209e-05 
0.8   512     128       2  0.233613  0.3384279     5.82639e-05 
0.8   512     128       2  0.268223  0.3710777     7.96417e-05 
0.8   512     128       2  0.302832  0.4023485     9.68973e-05 
0.8   512     128       2  0.389355  0.475735      0.000144285 
0.8   512     128       2  0.432617  0.5103526     0.000687826 
0.8   512     128       2  0.475879  0.5438329     0.004238281 
0.8   512     128       2  0.674883  0.6864677     0.01233765  
0.8   512     128       2  0.778711  0.7551827     0.01732023  
0.8   512     128       2  0.951758  0.8632809     0.02859392  
0.8   512     128       2  1.384375  1.108248      0.05732525  
0.8   512     128       2  1.990039  1.4115911     0.09273727  
0.8   512     128       2  2.76875   1.7592342     0.13273478  
0.8   512     128       2  3.893555  2.2081675     0.19545230  
0.8   1024    128       2  0.008652  0.037603    1.33776e-07    
0.8   1024    128       2  0.017304  0.059691    3.95179e-07    
0.8   1024    128       2  0.034609  0.094753    9.25168e-07    
0.8   1024    128       2  0.060566  0.1376012   2.07138e-06    
0.8   1024    128       2  0.112480  0.2078991   5.49767e-06    
0.8   1024    128       2  0.173047  0.277062    1.65258e-05    
0.8   1024    128       2  0.233613  0.3384279   2.75663e-05    
0.8   1024    128       2  0.268223  0.3710777   3.26159e-05    
0.8   1024    128       2  0.302832  0.4023485   4.32781e-05    
0.8   1024    128       2  0.389355  0.475735    5.72309e-05    
0.8   1024    128       2  0.432617  0.5103526   0.000333705    
0.8   1024    128       2  0.475879  0.5438329   0.00217979     
0.8   1024    128       2  0.674883  0.6864677   0.0090663      
0.8   1024    128       2  0.778711  0.7551827   0.0144473      
0.8   1024    128       2  0.951758  0.8632809   0.0237237      
0.8   1024    128       2  1.384375  1.108248    0.0482892      
0.8   1024    128       2  1.990039  1.4115911   0.0827282      
0.8   1024    128       2  2.76875   1.7592342   0.1192725      
0.8   1024    128       2  3.893555  2.2081675   0.2017273      
