#normH  #muT  #gamma #normPulloff
0.04318546875      0.25 0.22  0.00210836
0.0314482421875    0.25 0.20  0.001330456
0.04318546875      0.25  0.50 0.0302612917
0.05081335937      1  0.07  7.5639e-06
0.04318546875        1 1.25   0.0376089
0.0431854687         1  0.34 0.000935866
0.0603441          1                1  0.0300847
0.111252             0.134974 0.00315245        0.000390749
0.111252                0.896964     0.299821   0.010346
0.148825            1.29322  0.0161642 6.00353e-05
0.0881469             0.911054    0.00926675    8.35658e-05
0.0881469             1.2068   0.0150109 8.40183e-05
0.0718569             1.00757 0.0544001 5.70246e-05
0.125769            0.2888  0.0126516 0.000172578
0.0495563             0.0533875  0.00123259     0.000110745
0.112831               0.309277     0.193526   0.0164216
0.0571939             0.833723     0.746949   0.0114347
