Size	lamdabR	lambdaS	gamma	rho	normPulloff
512	128	1	0.1476025	0.80	0.00210836
1024	512	1	0.286779	1.28467	0.001330456
512	128	1	0.320875	1.3384	0.0302612917
512	128	2	0.060566	0.137601	7.5639e-06
512	128	1	0.802188	0.616336	0.0376089
512	128	1	0.269535	0.297881	0.000935866
512	128	4	1.17814	1.22085	0.0300847
1792	896	224	0.0684211	4.90694	0.0003907
256	128	32	0.929622	2.19785	0.010346
2048	512	256	0.284066	1.30978	6.00353e-05
1280	640	80	0.103135	0.701369	8.35658e-05
1536	768	96	0.200477	0.87637	8.40183e-05
1792	896	56	0.614936	1.89351	5.70246e-05
768	192	64	0.0679034	1.47315	0.000172578
1024	1024	16	0.00886122	1.43469	0.000110745
1536	96	24	0.448187	3.54794	0.0164216
1280	160	4	0.995703	1.33473	0.0114347
