Size;lamdabR;lambdaS;gamma;rho;normPulloff
512;128;32;0.455834;4.18537;0.00989503
1536;128;64;0.435573;1.67609;3.90E-05
1536;512;16;0.00522671;3.18212;0.000132908
1280;64;32;0.177285;3.76808;0.0223241
2048;256;16;0.0763517;2.9888;0.00020533
512;64;64;0.0784438;0.914735;0.000154666
1536;384;24;0.148421;2.71441;0.00018919
512;128;16;0.0962038;2.37689;0.00135594
1792;32;32;0.867604;2.68246;0.0600162
2048;512;256;0.353219;3.2784;0.000163097
2048;128;64;0.182328;3.13367;5.39E-05
1536;512;16;0.991867;4.11226;0.000239116
1536;192;32;0.467107;2.69455;0.000947405
1536;1536;32;0.774279;1.59973;0.000218869
1792;128;128;0.165033;0.92277;2.42E-05
1536;192;64;0.0817334;2.8442;8.40E-05
512;32;16;0.560684;2.07982;0.0760219
256;256;256;0.071135;2.61964;0.0103029
1024;256;64;0.580404;0.760646;0.000357417
512;32;32;0.446783;3.74455;0.0799085
2048;64;4;0.42053;0.85055;0.0127479
768;192;48;0.260378;4.99365;0.00594824
2048;128;8;0.940796;4.49263;0.0927788
768;192;192;0.861006;3.83961;0.0032968
2048;1024;512;0.918248;4.44741;0.000836338
768;768;128;0.604106;3.62103;0.00264782
768;768;384;0.0471011;4.57557;0.00272376
1792;32;8;0.400884;1.45622;0.0649183
1024;256;8;0.696442;1.12856;0.00111416
1280;32;4;0.715175;1.98592;0.171207
1024;128;4;0.788693;4.94605;0.150802
1280;64;8;0.231312;3.42443;0.094001
512;32;16;0.029026;0.964079;0.000107585
1536;1536;128;0.981784;2.34763;0.000127207
1024;64;8;0.106264;0.502769;2.86E-05
1024;512;4;0.12302;3.16695;0.000465469
2048;256;32;0.119244;3.32971;0.000188123
1536;1536;8;0.208926;4.02075;0.000510866
1536;192;32;0.661923;1.70786;0.000446286
1280;1280;64;0.022014;3.14326;0.000665232
256;64;32;0.559687;4.04241;0.0401236
2048;2048;256;0.797925;1.31839;0.000113721
1536;192;24;0.379546;3.02554;0.0005041
1792;64;4;0.194327;1.67728;0.0285587
1024;128;8;0.377109;4.05803;0.0510765
1280;640;4;0.351696;2.61369;0.000467597
256;64;64;0.634794;0.470579;0.0010151
1536;32;16;0.948602;2.83547;0.143415
1792;896;896;0.913323;4.7813;0.000959
1024;256;128;0.697583;2.23606;0.000212451
256;32;16;0.732764;0.223073;0.00192151
1024;128;128;0.714786;1.6978;0.000130657
1536;1536;1536;0.183727;3.48542;0.00213757
768;768;8;0.809373;2.28775;0.00202901
